first,second
1.0e-40,2.104259477645939596617943166963434669524677934827077787976834188456179200064143e-17
1.0e-45,1.219847395053913626365882261429529119017066543610536998566884918240701818352421e-19
1.0e-10,0.002320278621045207436836798578405814898675325962153892918481354396989707968495495
1.0e-20,7.370937493837120161311464676340127611503196394546976771559173982182952758665253e-08
1.0e-30,5.085708797064816861108495584881238699470416269656504926877796207558603802028445e-13
1.0e-35,4.097787384319489007088316231963834129054312098671791435863483476394129716327437e-15
1.0e-55,1.134884010594011965264297934896495086550578078890631801118444762355492477400293e-23
1.0e-50,8.406916367312477918912905081247833691198480783382727804668501631567612065360662e-22
1.0e-15,3.120605589397934757053645837087367388751985223931323320920392996342117683220352e-05
1.0e-5,0.01180177845021757809190794494417581561574895625062948056789358447708376918681262
1.0e-25,7.65122207717780042197206177973269981924705379093545683212452067679944834420969e-11
